year,team,SRS,SOS,FG,OPP_FG,FGA,OPP_FGA,3P,OPP_3P,3PA,OPP_3PA,2P,OPP_2P,2PA,OPP_2PA,FT,OPP_FT,FTA,OPP_FTA,ORB,OPP_ORB,DRB,OPP_DRB,TRB,OPP_TRB,AST,OPP_AST,STL,OPP_STL,BLK,OPP_BLK,TOV,OPP_TOV,PF,OPP_PF,FG%,OPP_FG%,3P%,OPP_3P%,2P%,OPP_2P%,eFG%,OPP_eFG%,FT%,OPP_FT%
2012,florida-state,14.53,7.62,25.27,21.42,55.15,56.3,6.15,6.33,17.42,20.79,19.12,15.09,37.73,35.52,13.64,13.73,19.39,19.33,10.36,10.21,23.33,19.52,33.7,29.73,12.21,10.33,7.61,7.48,5.94,3.21,16.18,15.12,18.76,18.45,0.46,0.38,0.36,0.3,0.51,0.43,0.52,0.44,0.68,0.71
2012,st-bonaventure,8.25,2.84,24.1,22.42,52.58,53.87,5.39,5.74,15.81,17.71,18.71,16.68,36.77,36.16,17.1,14.42,22.48,20.26,10.16,8.9,22.23,18.26,32.39,27.16,13.81,12.19,5.71,6.84,4.19,2.55,14.03,12.45,18.58,19.58,0.46,0.42,0.34,0.32,0.52,0.46,0.51,0.47,0.75,0.7
2012,gonzaga,13.86,3.25,24.94,23.55,52.71,56.94,6.39,6.0,17.0,19.23,18.55,17.55,35.71,37.71,17.71,10.1,24.77,15.1,8.97,8.32,24.39,19.0,33.35,27.32,13.74,11.29,6.81,7.19,3.29,2.45,13.0,12.84,15.16,20.68,0.47,0.42,0.37,0.31,0.52,0.47,0.54,0.47,0.71,0.67
2012,west-virginia,12.13,7.53,25.69,24.59,58.28,55.19,5.34,5.31,17.69,16.78,20.34,19.28,40.59,38.41,14.91,11.66,22.22,17.22,12.78,8.72,21.81,20.16,34.59,28.88,14.59,12.41,6.5,7.09,2.56,3.38,12.59,13.5,16.69,20.34,0.44,0.45,0.3,0.31,0.5,0.51,0.49,0.5,0.67,0.68
2012,ohio-state,23.95,9.07,27.59,21.35,57.12,52.56,4.85,6.0,14.88,18.65,22.74,15.35,42.24,33.91,14.74,10.35,21.12,15.03,10.74,6.88,23.76,20.0,34.5,26.88,14.97,10.09,7.21,4.91,3.0,2.59,11.56,14.53,16.06,18.29,0.48,0.41,0.33,0.31,0.54,0.45,0.52,0.46,0.69,0.71
2012,loyola-md,0.37,-2.72,23.0,22.28,53.78,52.03,5.0,5.09,14.69,14.12,18.0,17.19,39.09,37.91,16.59,14.16,23.12,20.69,11.28,9.16,20.62,18.91,31.91,28.06,12.0,11.28,7.78,6.16,4.34,3.75,13.0,13.91,18.75,19.12,0.43,0.43,0.34,0.38,0.46,0.46,0.48,0.48,0.72,0.68
2012,north-carolina,21.34,7.07,30.0,25.06,65.12,63.71,5.06,7.29,14.91,22.88,24.94,17.76,50.21,40.82,16.91,9.44,24.79,14.03,13.82,9.41,28.15,21.5,41.97,30.91,17.44,11.62,6.82,5.97,5.59,3.47,11.68,13.35,14.76,20.82,0.46,0.39,0.34,0.31,0.5,0.44,0.5,0.45,0.69,0.65
2012,vermont,0.98,-5.19,23.47,21.65,52.97,53.09,5.41,5.35,15.65,16.79,18.06,16.29,37.32,36.29,14.88,11.85,20.06,17.59,9.53,8.88,22.62,19.65,32.15,28.53,13.26,9.94,6.24,5.65,2.38,3.24,11.97,12.62,17.29,18.74,0.44,0.41,0.34,0.31,0.48,0.45,0.49,0.46,0.73,0.68
2012,creighton,12.92,3.41,28.03,25.7,55.06,58.67,8.18,6.45,19.27,18.12,19.85,19.24,35.79,40.55,15.79,11.7,21.58,17.24,8.3,8.09,25.0,19.36,33.3,27.45,17.91,13.21,4.79,6.52,2.3,2.94,12.12,10.21,17.03,18.94,0.51,0.44,0.43,0.36,0.56,0.47,0.59,0.49,0.73,0.68
2012,alabama,13.76,7.18,23.62,20.12,52.31,51.91,4.03,4.84,14.16,17.09,19.59,15.28,38.16,34.81,13.66,13.03,19.09,20.03,9.22,9.69,23.19,19.62,32.41,29.31,12.28,10.28,7.31,5.53,4.16,3.59,12.69,13.25,18.38,16.44,0.45,0.39,0.29,0.28,0.52,0.45,0.49,0.44,0.71,0.66
2012,temple,10.44,4.94,27.29,25.45,57.87,58.23,7.29,5.58,18.13,16.61,20.0,19.87,39.74,41.61,14.16,13.42,19.71,19.16,9.32,9.87,22.71,21.16,32.03,31.03,15.61,12.19,7.23,5.58,4.16,3.52,12.26,13.29,17.68,17.23,0.48,0.44,0.41,0.33,0.51,0.48,0.54,0.49,0.72,0.7
2012,south-florida,9.2,7.29,21.42,20.24,49.09,52.21,4.67,5.0,14.76,16.85,16.76,15.24,34.33,35.36,11.73,11.39,16.64,16.18,8.7,9.18,22.21,18.52,30.91,27.7,11.85,11.3,5.52,7.03,3.82,3.33,13.0,10.85,15.33,16.18,0.44,0.39,0.32,0.3,0.49,0.44,0.48,0.44,0.71,0.69
2012,michigan,13.19,8.98,23.82,22.24,52.21,52.27,8.15,5.97,23.18,17.33,15.67,16.27,29.03,34.94,10.73,10.91,14.91,15.42,7.42,8.64,21.12,20.88,28.55,29.52,12.73,11.24,5.03,5.55,2.18,2.48,10.64,12.3,15.55,15.94,0.46,0.43,0.36,0.35,0.54,0.47,0.54,0.49,0.71,0.7
2012,ohio,7.17,0.17,24.68,20.79,57.35,50.44,7.38,5.35,21.85,18.03,17.29,15.44,35.5,32.41,14.0,15.47,20.56,21.56,11.0,9.79,20.24,20.82,31.24,30.62,13.18,11.06,9.38,6.18,2.85,3.32,13.18,17.35,19.71,19.15,0.43,0.42,0.33,0.31,0.49,0.48,0.5,0.47,0.67,0.73
2012,san-diego-state,9.04,3.79,25.45,22.64,55.82,56.61,5.73,7.0,16.82,20.73,19.73,15.64,39.0,35.88,14.61,10.97,20.88,15.88,9.21,8.24,24.97,21.48,34.18,29.73,12.36,12.15,5.64,5.52,2.33,3.12,12.48,12.61,15.91,18.58,0.46,0.4,0.34,0.33,0.51,0.44,0.51,0.46,0.7,0.66
2012,north-carolina-state,12.1,6.8,26.68,24.15,57.65,57.76,5.35,6.44,15.06,19.06,21.32,17.71,42.59,38.71,14.68,13.29,20.74,18.71,10.76,9.56,23.76,20.21,34.53,29.76,15.97,11.47,6.91,6.5,4.06,3.38,12.79,12.03,16.97,17.68,0.46,0.42,0.35,0.34,0.51,0.46,0.51,0.48,0.69,0.7
2012,georgetown,16.81,7.69,24.52,20.71,53.0,53.48,5.58,4.74,16.1,17.58,18.94,15.97,36.9,35.9,14.45,13.0,20.74,19.0,10.1,8.77,23.74,18.48,33.84,27.26,13.68,11.42,6.23,6.77,4.81,2.77,12.58,12.68,17.58,18.81,0.46,0.39,0.35,0.27,0.52,0.45,0.52,0.43,0.7,0.67
2012,belmont,11.81,-1.22,28.06,24.12,58.0,56.82,8.79,5.94,23.24,17.59,19.26,18.18,34.76,39.24,16.62,13.15,22.59,20.03,9.82,10.41,23.38,20.68,33.21,31.09,17.35,12.88,7.41,6.59,2.29,4.26,12.12,14.29,18.03,19.26,0.48,0.42,0.38,0.32,0.56,0.47,0.56,0.48,0.73,0.66
2012,saint-marys-ca,11.26,0.78,25.94,23.28,54.59,54.53,7.53,5.34,21.5,14.81,18.41,17.94,33.09,39.72,15.53,10.47,21.38,15.78,10.69,7.75,24.19,19.06,34.88,26.81,15.91,11.81,7.0,5.56,3.09,2.41,11.56,11.91,15.91,18.91,0.48,0.43,0.35,0.36,0.56,0.45,0.55,0.48,0.74,0.66
2012,purdue,13.88,8.05,25.55,23.58,57.94,52.85,8.21,6.24,21.79,17.55,17.33,17.33,36.15,35.3,12.88,12.61,19.76,18.06,9.24,8.36,20.52,22.21,29.76,30.58,13.7,12.52,6.55,3.88,3.24,3.24,8.55,12.61,17.73,17.55,0.44,0.45,0.38,0.36,0.49,0.49,0.52,0.51,0.65,0.69
2012,kansas,21.72,9.93,26.64,21.09,54.91,55.06,6.0,6.15,16.76,17.73,20.64,14.94,38.15,37.33,15.7,13.61,22.55,18.88,9.67,9.12,24.82,19.52,34.48,28.64,15.61,11.06,7.39,6.61,5.64,3.12,13.18,13.67,17.64,18.55,0.49,0.38,0.37,0.35,0.54,0.4,0.54,0.44,0.7,0.72
2012,detroit-mercy,2.4,-0.01,25.23,23.4,55.57,53.29,4.63,6.83,15.31,18.57,20.6,16.57,40.26,34.71,17.69,14.0,24.09,19.89,10.29,8.89,20.71,19.34,31.0,28.23,12.97,13.14,7.51,5.8,4.63,2.6,12.2,14.97,18.94,19.91,0.45,0.44,0.29,0.36,0.52,0.48,0.5,0.51,0.74,0.7
2012,kentucky,24.73,7.93,27.32,21.53,56.59,58.56,5.74,5.65,15.44,17.59,21.59,15.88,41.15,40.97,16.29,10.29,22.62,14.97,11.12,9.62,25.03,18.62,36.15,28.24,13.24,10.47,6.32,5.5,8.79,3.32,11.15,11.62,14.47,18.26,0.48,0.37,0.36,0.33,0.52,0.39,0.53,0.42,0.72,0.7
2012,western-kentucky,-2.66,0.51,21.97,23.85,55.36,55.3,5.67,4.73,18.39,14.18,16.3,19.12,36.97,41.12,15.45,15.58,22.3,21.45,10.73,10.0,22.39,22.97,33.12,32.97,11.06,11.7,5.52,6.39,4.09,3.97,14.82,14.33,19.82,19.36,0.4,0.43,0.31,0.33,0.45,0.47,0.46,0.48,0.7,0.73
2012,iowa-state,13.32,7.32,24.88,25.38,55.41,58.28,8.88,5.5,23.38,18.47,16.0,19.88,32.03,39.81,14.56,10.47,21.44,14.97,9.75,8.31,24.69,21.53,34.44,29.84,14.59,13.16,5.88,5.75,2.81,3.09,12.5,11.59,16.03,18.44,0.45,0.44,0.38,0.3,0.5,0.51,0.53,0.49,0.69,0.7
2012,connecticut,12.27,8.07,25.36,23.0,55.88,60.0,5.39,7.24,16.3,21.12,19.97,15.76,39.58,38.88,12.73,10.88,19.24,14.97,11.0,11.09,23.24,18.85,34.24,29.94,13.61,12.06,5.82,6.61,6.91,2.61,12.3,10.55,14.3,17.18,0.46,0.39,0.34,0.35,0.51,0.41,0.51,0.45,0.66,0.73
2012,wichita-state,17.42,3.8,27.75,22.0,57.19,56.16,7.03,5.62,18.88,18.19,20.72,16.38,38.31,37.97,15.16,12.81,20.19,18.56,9.47,7.84,25.66,19.62,35.12,27.47,14.75,10.88,6.28,5.62,3.94,2.94,11.94,12.75,16.91,18.16,0.49,0.39,0.38,0.31,0.54,0.43,0.55,0.44,0.75,0.68
2012,virginia-commonwealth,8.79,0.63,23.21,21.0,56.59,49.65,7.41,4.79,21.97,15.09,15.79,16.21,34.62,34.56,14.56,12.97,21.12,18.79,11.0,9.38,20.29,22.82,31.29,32.21,12.24,9.79,10.62,5.76,3.68,4.15,11.18,17.5,18.18,18.71,0.41,0.42,0.34,0.3,0.46,0.47,0.48,0.47,0.69,0.69
2012,indiana,18.63,7.79,25.97,23.21,53.3,55.09,6.39,6.09,14.76,17.45,19.58,17.12,38.55,37.64,18.94,13.03,24.85,18.85,9.15,9.12,22.61,18.15,31.76,27.27,13.42,10.58,6.42,6.76,3.36,4.03,12.55,13.06,17.58,20.67,0.49,0.42,0.43,0.34,0.51,0.46,0.55,0.48,0.75,0.69
2012,new-mexico-state,8.73,0.08,26.94,24.69,57.03,58.03,4.6,5.89,14.09,18.46,22.34,18.8,42.94,39.57,19.97,12.74,29.94,18.94,13.37,8.97,24.63,19.2,38.0,28.17,14.03,13.37,6.83,5.77,4.23,3.2,14.54,14.46,17.6,22.09,0.47,0.43,0.32,0.32,0.52,0.48,0.52,0.48,0.66,0.68
2012,nevada-las-vegas,13.55,4.37,27.03,23.38,58.56,57.15,8.29,6.18,22.44,18.56,18.74,17.21,36.12,38.59,14.32,12.91,21.09,19.15,10.53,9.26,24.68,22.03,35.21,31.29,17.74,11.59,8.38,6.18,4.74,2.41,13.38,14.91,17.12,18.56,0.46,0.41,0.37,0.33,0.52,0.45,0.53,0.47,0.67,0.67
2012,colorado,7.91,5.73,23.24,22.38,52.21,55.12,5.5,6.15,16.03,19.03,17.74,16.24,36.18,36.09,15.62,11.59,22.5,17.85,8.41,8.53,24.59,21.21,33.0,29.74,11.68,10.71,5.88,6.0,3.26,3.68,12.47,12.21,17.06,17.76,0.44,0.41,0.34,0.33,0.49,0.45,0.5,0.46,0.69,0.65
2012,baylor,16.54,8.03,26.44,23.26,56.21,56.24,6.79,6.18,17.85,18.35,19.65,17.09,38.35,37.88,15.21,12.24,20.24,17.82,10.85,10.0,23.09,18.15,33.94,28.15,15.0,12.97,7.62,6.88,4.82,3.18,13.82,14.26,17.53,18.53,0.47,0.42,0.37,0.34,0.51,0.45,0.53,0.47,0.74,0.66
2012,south-dakota-state,7.34,-1.87,26.38,24.94,56.26,55.59,8.06,5.62,20.53,17.38,18.32,19.32,35.74,38.21,16.5,11.0,22.62,16.0,8.94,7.97,22.26,20.82,31.21,28.79,14.24,12.29,6.74,5.59,1.88,2.53,10.29,12.74,16.18,19.44,0.47,0.45,0.4,0.32,0.51,0.51,0.54,0.5,0.74,0.7
2012,notre-dame,11.18,6.47,22.91,23.3,53.06,56.61,6.42,4.94,19.52,15.91,16.48,18.36,33.55,40.7,14.24,9.91,20.12,14.0,8.88,9.48,22.3,21.67,31.18,31.15,14.48,12.42,5.18,5.45,3.42,2.94,9.82,10.52,13.73,17.94,0.43,0.41,0.34,0.31,0.49,0.45,0.49,0.46,0.7,0.69
2012,xavier,9.59,6.22,25.12,22.82,55.52,57.33,4.88,6.27,13.97,20.48,20.24,16.55,41.55,36.85,15.67,15.55,22.64,20.88,9.21,9.12,23.85,21.48,33.06,30.61,13.39,13.27,6.09,6.45,3.76,3.55,12.67,12.67,18.73,19.36,0.45,0.4,0.34,0.3,0.49,0.45,0.5,0.45,0.69,0.75
2012,duke,17.05,8.4,25.76,25.52,56.27,58.91,8.12,4.45,21.61,14.06,17.64,21.06,34.67,44.85,17.88,12.97,25.48,18.79,10.64,10.61,23.15,21.09,33.79,31.7,12.45,11.15,6.24,5.67,4.03,2.67,12.06,12.76,18.18,20.79,0.46,0.43,0.38,0.31,0.51,0.47,0.53,0.47,0.7,0.7
2012,lehigh,4.27,-5.14,26.03,23.03,58.0,55.76,7.42,5.85,20.79,17.88,18.61,17.18,37.21,37.88,16.73,13.18,21.55,18.7,8.94,8.61,22.48,21.45,31.42,30.06,13.33,13.03,7.76,5.58,3.03,3.73,11.3,14.33,17.76,18.64,0.45,0.41,0.37,0.32,0.5,0.45,0.52,0.47,0.77,0.69
2012,michigan-state,21.32,9.81,25.91,20.29,54.38,53.68,5.53,5.59,15.15,19.12,20.38,14.71,39.24,34.56,14.79,12.94,21.21,18.35,10.44,8.29,24.82,18.53,35.26,26.82,15.32,10.59,7.32,6.24,4.38,2.85,12.76,12.56,17.53,18.62,0.48,0.38,0.37,0.3,0.52,0.43,0.53,0.43,0.7,0.69
2012,long-island-university,-1.34,-5.1,27.21,30.27,57.27,68.03,6.58,6.24,17.85,19.03,20.64,24.03,39.42,49.0,20.88,10.55,28.55,15.18,9.97,12.24,24.82,20.55,34.79,32.79,14.85,15.48,6.06,8.64,3.3,3.97,15.94,13.64,15.76,23.55,0.48,0.45,0.37,0.33,0.53,0.49,0.53,0.49,0.73,0.7
2012,memphis,16.86,5.26,26.82,21.47,54.26,55.85,5.38,5.38,14.59,17.35,21.44,16.09,39.68,38.5,16.26,14.82,22.59,21.38,7.97,10.15,23.41,19.5,31.38,29.65,14.74,10.97,7.94,6.09,5.68,3.56,12.62,13.65,19.06,18.56,0.5,0.39,0.37,0.31,0.54,0.42,0.55,0.43,0.72,0.69
2012,saint-louis,15.15,4.05,24.22,20.16,53.62,49.0,7.06,4.0,19.53,12.5,17.16,16.16,34.09,36.5,13.69,13.22,19.12,18.25,8.5,7.31,20.81,20.59,29.31,27.91,13.84,9.06,7.03,5.22,3.03,3.72,11.09,14.91,16.91,18.09,0.46,0.41,0.37,0.32,0.51,0.44,0.52,0.45,0.71,0.71
2012,new-mexico,15.6,3.34,25.09,20.64,54.24,54.24,7.64,6.12,19.85,19.94,17.45,14.52,34.39,34.3,15.33,11.67,21.7,17.21,9.67,8.27,25.24,20.03,34.91,28.3,16.39,11.06,6.94,5.7,3.27,2.36,13.21,14.03,17.61,19.85,0.46,0.38,0.38,0.31,0.51,0.42,0.53,0.44,0.7,0.67
2012,long-beach-state,9.52,0.87,25.82,23.61,55.0,56.33,6.58,6.06,18.24,18.03,19.24,17.55,36.76,38.3,15.79,10.36,23.52,15.0,10.3,9.39,23.24,20.18,33.55,29.58,14.03,12.21,7.15,5.79,2.73,2.82,12.7,14.85,15.39,19.24,0.47,0.42,0.36,0.34,0.52,0.46,0.53,0.47,0.66,0.69
2012,louisville,16.19,9.02,24.23,21.34,57.06,56.26,5.89,5.54,18.94,18.0,18.34,15.8,38.11,38.26,14.49,12.94,21.11,19.57,11.83,11.26,24.31,22.2,36.14,33.46,13.77,11.14,9.11,7.31,4.86,3.4,14.4,15.4,17.8,18.86,0.43,0.38,0.31,0.3,0.48,0.41,0.48,0.43,0.68,0.64
2012,davidson,7.25,-1.68,26.81,23.75,59.66,55.56,7.84,5.28,23.16,15.41,18.97,18.47,36.5,40.16,16.94,15.0,22.12,22.56,10.91,7.66,24.47,21.03,35.38,28.69,13.84,10.44,5.62,6.06,3.44,3.5,11.75,12.34,20.31,19.88,0.45,0.43,0.33,0.34,0.52,0.46,0.52,0.48,0.77,0.64
2012,murray-state,8.74,-2.6,24.87,22.35,52.16,53.1,7.42,4.29,18.26,14.55,17.45,18.06,33.9,38.55,17.06,12.23,23.39,18.61,9.45,9.94,21.06,17.87,30.52,27.81,12.97,10.58,8.42,6.26,4.19,2.61,13.81,16.23,18.26,20.06,0.48,0.42,0.4,0.3,0.51,0.47,0.55,0.47,0.73,0.65
2012,colorado-state,6.58,5.23,24.13,23.16,50.74,53.06,6.0,7.26,14.81,20.35,18.13,15.9,35.94,32.71,16.77,14.77,21.81,20.74,7.06,8.32,22.0,19.45,29.06,27.77,12.32,12.48,5.35,5.13,1.9,3.26,12.16,11.87,18.81,19.13,0.48,0.44,0.4,0.36,0.51,0.49,0.54,0.51,0.77,0.71
2012,marquette,16.92,7.5,26.5,23.88,57.72,58.78,5.69,6.09,16.88,18.97,20.81,17.78,40.84,39.81,17.25,12.38,23.94,18.28,10.25,11.94,21.97,21.03,32.22,32.97,16.84,13.91,8.81,7.22,3.5,4.09,13.19,16.22,17.84,20.09,0.46,0.41,0.34,0.33,0.51,0.45,0.51,0.46,0.72,0.68
2012,brigham-young,11.25,1.55,28.0,23.64,59.88,57.36,6.64,6.48,19.39,20.88,21.36,17.15,40.48,36.48,15.58,12.85,22.09,19.3,9.21,7.82,25.67,22.64,34.88,30.45,17.03,13.52,8.45,6.21,4.27,2.67,13.12,15.55,18.18,19.03,0.47,0.42,0.33,0.31,0.53,0.47,0.52,0.47,0.7,0.64
2012,florida,18.25,7.33,26.42,24.0,57.36,55.45,9.94,6.27,25.48,17.64,16.48,17.73,31.88,37.82,13.48,11.76,18.94,17.03,9.7,8.67,21.61,20.76,31.3,29.42,15.0,12.36,6.48,5.06,3.27,3.03,10.88,12.73,15.85,17.91,0.46,0.43,0.39,0.37,0.52,0.47,0.55,0.49,0.71,0.68
2012,virginia,12.51,4.23,22.68,19.61,49.32,49.55,4.9,4.68,14.55,15.87,17.77,14.94,34.77,33.68,12.81,9.77,17.68,15.42,6.84,6.94,22.94,19.84,29.77,26.77,12.32,8.35,6.52,6.0,2.81,2.42,11.32,12.71,15.84,16.68,0.46,0.4,0.34,0.29,0.51,0.45,0.51,0.45,0.73,0.64
2012,missouri,19.77,5.68,28.0,24.62,55.59,55.79,8.24,6.24,20.82,17.21,19.76,18.38,34.76,38.59,16.06,10.26,20.97,15.18,8.03,9.35,21.44,19.38,29.47,28.74,16.21,12.82,8.21,5.26,2.82,2.62,10.21,14.26,14.12,18.74,0.5,0.44,0.39,0.37,0.57,0.48,0.58,0.5,0.76,0.68
2012,norfolk-state,-3.68,-5.39,24.12,23.09,54.47,56.94,5.41,5.5,17.41,18.18,18.71,17.59,37.06,38.76,15.35,14.44,23.47,21.65,9.79,9.91,23.18,20.5,32.97,30.41,12.0,10.91,6.91,6.76,4.79,3.21,15.0,13.79,19.41,20.06,0.45,0.41,0.31,0.3,0.51,0.46,0.5,0.46,0.65,0.66
2013,indiana,24.92,8.39,26.88,22.64,55.27,58.09,7.3,5.85,17.76,19.09,19.58,16.79,37.52,39.0,18.94,11.33,25.42,16.09,10.91,9.36,24.61,17.15,35.52,26.52,14.55,10.12,7.48,6.42,3.73,4.0,12.82,13.91,17.09,20.58,0.49,0.39,0.41,0.29,0.52,0.43,0.55,0.44,0.75,0.71
2013,james-madison,-1.67,-2.22,22.53,22.0,53.62,51.5,5.74,6.15,17.21,17.56,16.79,15.85,36.41,33.94,14.38,14.21,20.53,20.5,8.44,8.26,21.06,22.97,29.5,31.24,11.74,12.56,7.88,5.32,4.5,3.15,10.94,13.47,17.12,16.85,0.42,0.43,0.34,0.34,0.47,0.47,0.47,0.49,0.7,0.68
2013,north-carolina-state,14.34,7.19,28.12,25.74,56.91,61.62,5.29,5.94,13.47,19.85,22.82,19.79,43.44,41.76,16.0,12.65,23.44,17.29,9.91,10.68,23.97,19.85,33.88,30.53,14.62,11.68,6.59,6.0,4.26,3.53,12.21,11.38,15.29,18.35,0.49,0.42,0.39,0.29,0.53,0.48,0.54,0.47,0.68,0.73
2013,temple,9.54,5.21,25.19,24.25,58.56,55.78,7.28,5.88,21.81,16.53,17.91,18.38,36.75,39.25,15.09,13.72,20.81,18.94,9.75,9.38,21.62,23.44,31.38,32.81,14.88,12.56,8.03,5.22,3.69,3.0,10.91,13.5,16.41,17.56,0.43,0.44,0.33,0.35,0.49,0.47,0.49,0.49,0.72,0.73
2013,nevada-las-vegas,12.81,5.6,25.09,22.59,57.15,58.24,6.5,5.82,19.68,18.79,18.59,16.76,37.47,39.44,14.94,12.0,21.21,17.15,10.38,8.38,26.09,21.15,36.47,29.53,16.21,11.35,7.35,6.47,5.79,2.44,13.88,12.88,16.85,18.26,0.44,0.39,0.34,0.31,0.5,0.43,0.5,0.44,0.7,0.71
2013,california,10.59,7.71,25.32,23.1,56.77,58.39,4.03,5.77,13.26,17.16,21.29,17.32,43.52,41.23,12.87,12.42,17.74,17.9,9.45,10.13,24.77,21.13,34.23,31.26,14.06,11.84,5.77,5.9,4.74,3.03,12.42,10.94,16.23,16.71,0.45,0.4,0.29,0.33,0.49,0.43,0.49,0.45,0.73,0.69
2013,syracuse,20.3,8.57,25.69,20.34,58.34,53.97,6.06,6.4,18.11,21.49,19.63,13.94,40.23,32.49,13.91,13.0,20.6,19.17,12.4,10.6,22.17,19.8,34.57,30.4,14.54,13.8,8.89,7.17,6.2,3.11,12.34,14.89,16.17,18.14,0.44,0.38,0.33,0.3,0.49,0.44,0.49,0.44,0.68,0.69
2013,montana,-1.19,-4.29,24.16,23.16,51.0,54.23,6.94,5.52,18.0,16.58,17.23,17.65,33.0,37.65,15.84,13.16,20.61,18.55,6.26,9.19,22.0,20.74,28.26,29.94,12.9,11.0,5.87,5.61,3.03,2.68,11.84,11.97,16.81,17.13,0.47,0.43,0.38,0.33,0.52,0.47,0.54,0.48,0.77,0.72
2013,butler,11.01,6.09,24.26,22.38,53.53,53.59,6.62,5.62,19.03,16.85,17.65,16.76,34.5,36.74,14.12,13.41,20.5,19.21,10.0,7.62,23.79,18.76,33.79,26.38,13.06,11.03,5.68,6.65,2.44,3.09,13.06,11.09,17.97,18.24,0.45,0.42,0.35,0.34,0.51,0.46,0.52,0.47,0.69,0.7
